date,x5
2007-08-08,15.58580197
2007-08-09,22.09928319
2007-08-10,12.33858787
2007-08-11,24.92299607
2007-08-12,15.97273387
2007-08-13,16.78258714
2007-08-14,15.06682738
2007-08-15,15.34623964
2007-08-16,16.76805078
2007-08-17,18.82383828
2007-08-18,17.2386059
2007-08-19,16.00944611
2007-08-20,17.34531994
2007-08-21,18.12834225
2007-08-22,16.33245383
2007-08-23,16.72578445
2007-08-24,13.43085106
2007-08-25,15.92415756
2007-08-26,15.94202899
2007-08-27,15.68418245
2007-08-28,14.53998496
2007-08-29,15.18758085
2007-08-30,11.26126126
2007-08-31,10.80870918
2007-09-01,2.520576132
2007-09-02,
2007-09-03,16.23306233
2007-09-04,11.13259669
2007-09-05,9.79020979
2007-09-06,11.83289403
2007-09-07,10.19787006
2007-09-08,12.91518196
2007-09-09,10.714068300000001
2007-09-10,12.09756098
2007-09-11,11.66635435
2007-09-12,8.431131225
2007-09-13,10.25974026
2007-09-14,10.98901099
2007-09-15,9.114927345
2007-09-16,11.72881356
2007-09-17,21.810749800000004
2007-09-18,27.38153796
2007-09-19,24.65034965
2007-09-20,32.20588235
2007-09-21,34.2519685
2007-09-22,24.13751313
2007-09-23,19.88080615
2007-09-24,16.76767677
2007-09-25,17.42323097
2007-09-26,10.68361388
2007-09-27,2.9271585210000004
2007-09-28,20.3986711
2007-09-29,15.15087867
2007-09-30,16.44197755
2007-10-01,16.38757299
2007-10-02,22.52310784
2007-10-03,23.56525362
2007-10-04,37.08609272
2007-10-05,25.74990965
2007-10-06,34.52368109
2007-10-07,25.13392857
2007-10-08,24.57438934
2007-10-09,26.24768946
2007-10-10,25.11551155
2007-10-11,22.70186335
2007-10-12,11.03376396
2007-10-13,26.40256235
2007-10-14,23.82165605
2007-10-15,25.42310522
2007-10-16,25.14413837
2007-10-17,27.17096336
2007-10-18,24.58081824
2007-10-19,25.86264657
2007-10-20,26.11764706
2007-10-21,24.16721097
2007-10-22,23.76859504
2007-10-23,23.31616723
2007-10-24,23.10954064
2007-10-25,30.612244899999997
2007-10-26,24.24883623
2007-10-27,25.12485594
2007-10-28,25.90054192
2007-10-29,29.33823529
2007-10-30,27.66310293
2007-10-31,30.17971124
2007-11-01,35.11453432
2007-11-02,26.92847125
2007-11-03,22.34146341
2007-11-04,29.98151571
2007-11-05,31.86528497
2007-11-06,29.13088286
2007-11-07,29.88067518
2007-11-08,26.95035461
2007-11-09,26.73521851
2007-11-10,26.35240664
2007-11-11,28.43899522
2007-11-12,27.89017341
2007-11-13,33.46405229
2007-11-14,24.02951033
2007-11-15,23.690337600000003
2007-11-16,23.39936836
2007-11-17,25.17045455
2007-11-18,23.05475504
2007-11-19,23.05389222
2007-11-20,25.11547344
2007-11-21,25.35231853
2007-11-22,24.49993382
2007-11-23,22.68184342
2007-11-24,24.18282548
2007-11-25,24.18909974
2007-11-26,24.123767800000003
2007-11-27,23.52071006
2007-11-28,24.48275862
2007-11-29,19.18777943
2007-11-30,29.99442671
2007-12-01,18.61404599
